action 1: (3, 4) build type 1
actionProfitValue = 0.026919, totalProfit = 375.627398 => action 1973: (7, 4) upgrade
actionProfitValue = 0.026913, totalProfit = 375.654316 => action 1974: (1, 2) upgrade
actionProfitValue = 0.026833, totalProfit = 375.681229 => action 1975: (5, 3) upgrade
actionProfitValue = 0.026792, totalProfit = 375.708061 => action 1976: (7, 1) upgrade
actionProfitValue = 0.026631, totalProfit = 375.734853 => action 1977: (6, 3) upgrade
actionProfitValue = 0.026614, totalProfit = 375.761484 => action 1978: (3, 7) upgrade
actionProfitValue = 0.026612, totalProfit = 375.788098 => action 1979: (5, 4) upgrade
actionProfitValue = 0.026503, totalProfit = 375.814711 => action 1980: (7, 2) upgrade
actionProfitValue = 0.026500, totalProfit = 375.841214 => action 1981: (1, 6) upgrade
actionProfitValue = 0.026485, totalProfit = 375.867714 => action 1982: (7, 0) upgrade
actionProfitValue = 0.026432, totalProfit = 375.894199 => action 1983: (5, 2) upgrade
actionProfitValue = 0.026431, totalProfit = 375.920631 => action 1984: (3, 3) upgrade
actionProfitValue = 0.026289, totalProfit = 375.947062 => action 1985: (1, 4) upgrade
actionProfitValue = 0.026240, totalProfit = 375.973351 => action 1986: (3, 2) upgrade
actionProfitValue = 0.026231, totalProfit = 375.999591 => action 1987: (1, 5) upgrade
actionProfitValue = 0.026230, totalProfit = 376.025822 => action 1988: (6, 0) upgrade
actionProfitValue = 0.026229, totalProfit = 376.052053 => action 1989: (7, 6) upgrade
actionProfitValue = 0.026210, totalProfit = 376.078281 => action 1990: (5, 0) upgrade
actionProfitValue = 0.026208, totalProfit = 376.104492 => action 1991: (7, 5) upgrade
actionProfitValue = 0.026161, totalProfit = 376.130699 => action 1992: (1, 1) upgrade
actionProfitValue = 0.026101, totalProfit = 376.156861 => action 1993: (3, 1) upgrade
actionProfitValue = 0.026098, totalProfit = 376.182961 => action 1994: (6, 1) upgrade
actionProfitValue = 0.026080, totalProfit = 376.209059 => action 1995: (1, 3) upgrade
actionProfitValue = 0.026035, totalProfit = 376.235139 => action 1996: (6, 6) upgrade
actionProfitValue = 0.025954, totalProfit = 376.261175 => action 1997: (6, 4) upgrade
actionProfitValue = 0.025927, totalProfit = 376.287129 => action 1998: (6, 5) upgrade
actionProfitValue = 0.025897, totalProfit = 376.313056 => action 1999: (3, 4) upgrade
actionProfitValue = 0.025875, totalProfit = 376.338953 => action 2000: (5, 5) upgrade
actionProfitValue = 0.025868, totalProfit = 376.364828 => averageProfitValue = 0.188195
